CodUF;Codigo;Nome;UF
12;120001;Acrelândia;Acre
12;120005;Assis Brasil;Acre
12;120010;Brasiléia;Acre
12;120013;Bujari;Acre
12;120017;Capixaba;Acre
12;120020;Cruzeiro do Sul;Acre
12;120025;Epitaciolândia;Acre
12;120030;Feijó;Acre
12;120032;Jordão;Acre
12;120033;Mâncio Lima;Acre
12;120034;Manoel Urbano;Acre
12;120035;Marechal Thaumaturgo;Acre
12;120038;Plácido de Castro;Acre
12;120080;Porto Acre;Acre
12;120039;Porto Walter;Acre
12;120040;Rio Branco;Acre
12;120042;Rodrigues Alves;Acre
12;120043;Santa Rosa do Purus;Acre
12;120050;Sena Madureira;Acre
12;120045;Senador Guiomard;Acre
12;120060;Tarauacá;Acre
12;120070;Xapuri;Acre
27;270010;Água Branca;Alagoas
27;270020;Anadia;Alagoas
27;270030;Arapiraca;Alagoas
27;270040;Atalaia;Alagoas
27;270050;Barra de Santo Antônio;Alagoas
27;270060;Barra de São Miguel;Alagoas
27;270070;Batalha;Alagoas
27;270080;Belém;Alagoas
27;270090;Belo Monte;Alagoas
27;270100;Boca da Mata;Alagoas
27;270110;Branquinha;Alagoas
27;270120;Cacimbinhas;Alagoas
27;270130;Cajueiro;Alagoas
27;270135;Campestre;Alagoas
27;270140;Campo Alegre;Alagoas
27;270150;Campo Grande;Alagoas
27;270160;Canapi;Alagoas
27;270170;Capela;Alagoas
27;270180;Carneiros;Alagoas
27;270190;Chã Preta;Alagoas
27;270200;Coité do Nóia;Alagoas
27;270210;Colônia Leopoldina;Alagoas
27;270220;Coqueiro Seco;Alagoas
27;270230;Coruripe;Alagoas
27;270235;Craíbas;Alagoas
27;270240;Delmiro Gouveia;Alagoas
27;270250;Dois Riachos;Alagoas
27;270255;Estrela de Alagoas;Alagoas
27;270260;Feira Grande;Alagoas
27;270270;Feliz Deserto;Alagoas
27;270280;Flexeiras;Alagoas
27;270290;Girau do Ponciano;Alagoas
27;270300;Ibateguara;Alagoas
27;270310;Igaci;Alagoas
27;270320;Igreja Nova;Alagoas
27;270330;Inhapi;Alagoas
27;270340;Jacaré dos Homens;Alagoas
27;270350;Jacuípe;Alagoas
27;270360;Japaratinga;Alagoas
27;270370;Jaramataia;Alagoas
27;270375;Jequiá da Praia;Alagoas
27;270380;Joaquim Gomes;Alagoas
27;270390;Jundiá;Alagoas
27;270400;Junqueiro;Alagoas
27;270410;Lagoa da Canoa;Alagoas
27;270420;Limoeiro de Anadia;Alagoas
27;270430;Maceió;Alagoas
27;270440;Major Isidoro;Alagoas
27;270490;Mar Vermelho;Alagoas
27;270450;Maragogi;Alagoas
27;270460;Maravilha;Alagoas
27;270470;Marechal Deodoro;Alagoas
27;270480;Maribondo;Alagoas
27;270500;Mata Grande;Alagoas
27;270510;Matriz de Camaragibe;Alagoas
27;270520;Messias;Alagoas
27;270530;Minador do Negrão;Alagoas
27;270540;Monteirópolis;Alagoas
27;270550;Murici;Alagoas
27;270560;Novo Lino;Alagoas
27;270570;Olho d'Água das Flores;Alagoas
27;270580;Olho d'Água do Casado;Alagoas
27;270590;Olho d'Água Grande;Alagoas
27;270600;Olivença;Alagoas
27;270610;Ouro Branco;Alagoas
27;270620;Palestina;Alagoas
27;270630;Palmeira dos Índios;Alagoas
27;270640;Pão de Açúcar;Alagoas
27;270642;Pariconha;Alagoas
27;270644;Paripueira;Alagoas
27;270650;Passo de Camaragibe;Alagoas
27;270660;Paulo Jacinto;Alagoas
27;270670;Penedo;Alagoas
27;270680;Piaçabuçu;Alagoas
27;270690;Pilar;Alagoas
