lyric,genre
"  Um, dois, três Quatro, cinco, seis Com mais um pulinho Estou na perna do freguês Um, dois, três Quatro, cinco, seis Com mais uma mordidinha Coitadinho do freguês Um, dois, três Quatro, cinco, seis Tô de barriguinha cheia Tchau Good bye Auf Wiedersehen ",bossa_nova
"  Lembro de nós dois sentados na calçada Lembro da gente conversando, altas gargalhadas Lembro de nós dois no telefone várias madrugadas Eu lembro do dia que aceitou ser minha namorada Lembro da gente andando de mãos dadas Lembro de que eu sempre te deixava na porta da sua casa Lembro dos planos para o casamento Lembro das brigas bobas sem fundamento Eu lembro e choro, eu lembro e choro Beautiful girl, this is not a goodbye Beautiful girl, isso não é um adeus De repente aquela música toca Olhos enchem de água, coração desabafa Lembro do sorriso, lembro do seu jeito Lembro dos seus olhos, lembro do seu cheiro Eu lembro dos seus abraços, da sua voz, lembro de tudo Beautiful girl this is not a goodbye Beautiful girl, isso não é um adeus Fiz essa canção simples pra dizer Tem coisas que só Deus pode responder pra nós Só entende de lágrimas quem já chorou Só quem sente a dor sabe o que ela causou ",sertanejo
"  Aonde você quer chegar? Por que esse medo todo? A gente já se conhece muito bem Eu sou seu norte, seu sossego, seu oposto Se eu sou brisa, você é o mar Se for o sol, sou chuva pra molhar E se duvidar Em um minuto, eu mostro 60 maneiras de te amar Por que não cola na minha boca esse sorriso? Assume que eu sou o fim do seu juízo Cê fala que me ama e na hora desmente Mas se embaralha toda só de pensar na gente ",sertanejo
"  Ai, a lua que no céu surgiu Não é a mesma que te viu Nascer nos braços meus Cai, a noite sobre o nosso amor E agora só restou do amor Uma palavra: Adeus Ai, vontade de ficar mas tendo que ir embora Ai, que amar é se ir morrendo pela vida afora É refletir na lágrima, um momento breve De uma estrela pura  cuja luz morreu Ai, mulher, estrela a refulgir Parte, mas antes de partir Rasga meu coração Crava  as garras no meu peito em dor E esvai em sangue todo o amor Toda desilusão Ai, vontade de ficar  mas tendo que ir embora Ai, que amar é se ir morrendo  pela vida afora É refletir na lágrima um momento breve De uma estrela pura Cuja luz morreu Numa noite escura Triste como eu ",bossa_nova
"  Que bom, Senhor, ir ao teu encontro Poder chegar e adentrar a tua casa Sentar-me contigo e partilhar da mesma mesa Te olhar, te tocar e te dizer, meu Deus, como és lindo Te olhar, te tocar e te dizer, meu Deus, como és lindo Ó meu Senhor, sei que não sou nada Sem merecer fizeste em mim tua morada Mas ao receber-te perfeita comunhão se cria Sou em ti, és em mim Minh‘alma diz, meu Deus, como és lindo Sou em ti, és em mim Minh‘alma diz, meu Deus, como és lindo Lauê, rarauara uê rarauê, uêrê uêrê Lauê, raraura uê rerauê, uêra uêra (como és lindo) Larauá, Larauá... uuuuuh (como és lindo) ",gospel
"  Era uma casa Muito engraçada Não tinha teto Não tinha nada Ninguém podia Entrar nela, não Porque na casa Não tinha chão Ninguém podia Dormir na rede Porque na casa Não tinha parede Ninguém podia Fazer pipi Porque penico Não tinha ali Mas era feita Com muito esmero Na Rua dos Bobos Número Zero ",bossa_nova
"  De toda forma e qualidade tem Oi tem pindoba, embiriba e sapucaia Tem titara, catulé, ouricurí Tem sucupira, sapucais, putumujú Teu pau-de-santo, tem pau d'arco, tem tatajubá Sapucarana, canzenzé, maçaranduba Tem louro paraíba e tem pininga (bis) Pare meu irmão De falar em tanta mata Com tanta planta eu não sei o que fazer Mas diga lá se tem bicho pra comer Se tem bicho pra comer. Se tem bicho pra comer De toda forma e qualidade tem, Onça pintada, sussuarana e maracajá E tem guará, jaguatirica e guaxinim E tem tatu, tatu-peba, tatu-bola Tem preguiça, tem quatí, tamanduá E coelho que tem, tem, tem Queixada que tem, tem, tem Caititú oi tem também Oi diz que tem, tem Oi diz que tem, tem E tem cotia que tem, tem E paca será que tem? Oi tem preá, e quandá será que tem? Oi diz que tem, tem Oi diz que tem, tem Pare meu irmão De falar em tanta fera Com tanto bicho eu não sei o que fazer Ah, um bichinho pra comer Eu só quisera Com tanto assim eles vão é me comer Mas tem os peixes que ainda não falei De toda forma e qualidade tem Oi tem traíra, tem cará e jundiá E tem caborge, tem piaba e carapó E pitú e caranguejo e aruá Mas também tem cobra Que é um nunca se acabar Tem jacaré, cobra-rainha e tem muçu Tem caninana, tem jibóia e tem jericoá Tem jararaca, cascavel, surucucú E papa-ovo e cobra verde assim não dá (bis) Mas tem sabiá, tem canário e curió Tem passarinho tão bom de se olhar Papa-capim, cardeal e arumará E tem xexéu, guriatã e tem brejá E se quiser comer galinha Tem de todas pra fartar Tem pomba de tres côcos, tem pato mergulhão Aracuâ, jaçanã e tem carão Juriti e cardigueira e paturí Mas e nessa abençoada região Será que tem o que faz falta na verdade O que é, o que é, o que é? O que é, o que é, o que é? Me diga meu irmão Se nessa grande mata É possível, é possível ter mulher Aí está uma coisa que não Aí está uma coisa que não Pois sendo assim eu prefiro o cativeiro Pois sendo assim eu prefiro o cativeiro Meu irmão tá com toda razão! Meu irmão tá com toda razão! ",bossa_nova
"  Senhor, que viestes salvar Os corações arrependidos. Kyrie eleison, eleison, eleison Ó, cristo, que viestes chamar Os pecadores humilhados. Christe eleison, eleison, eleison Senhor, que intercedeis por nós Junto a Deus pai que nos perdoa. Kyrie eleison, eleison, eleison ",gospel
"  Deus está aqui neste momento Sua presença é real em meu viver Entregue sua vida e seus problemas Fale com Deus, Ele vai ajudar você Deus te trouxe aqui Para aliviar o teu sofrimento É Ele o autor da Fé Do princípio ao fim Em todos os seus tormentos E ainda se vier noites traiçoeiras Se a cruz pesada for, Cristo estará contigo O mundo pode até fazer você chorar Mas Deus te quer sorrindo E ainda se vier noites traiçoeiras Se a cruz pesada for, Cristo estará contigo O mundo pode até fazer você chorar Mas Deus te quer sorrindo Seja qual for o seu problema Fale com Deus, Ele vai ajudar você Após a dor vem a alegria Pois Deus é amor e não te deixará sofrer Deus te trouxe aqui Para aliviar o seu sofrimento É Ele o autor da Fé Do princípio ao fim Em todos os seus tormentos E ainda se vier noites traiçoeiras Se a cruz pesada for, Cristo estará contigo O mundo pode até fazer você chorar Mas Deus te quer sorrindo ",gospel
"  Tu és a criatura mais linda Que os meus olhos já viram Tu tens a boca mais linda Que a minha boca beijou São meus os seus lábios Esses lábios Que os meus desejos mataram São minhas as suas mãos Essas mãos Que as minhas mãos afagaram Sou louco por ti Eu sofro por ti Te amo em segredo Adoro o seu corpo divino Que pelas mãos do destino A mim tu viestes Tenho ciúme do sol Do luar e do mar Tenho ciúme de tudo Tenho ciúme até Da roupa Que tu vestes Garçom! Olhe pelo espelho A dama de vermelho Que vai se levantar Note que até a orquestra Fica toda em festa Quando ela sai para dançar Essa dama já me pertenceu E o culpado fui eu Da separação Hoje choro de ciúme Ciúme até do perfume Que ela deixa no salão Garçom amigo Apague a luz da minha mesa Eu não quero que ela note Em mim tanta tristeza Traga mais uma garrafa Hoje vou embriagar-me Quero dormir para não ver Outro homem te abraçar Veja só Que tolice nós dois Brigarmos tanto assim Se depois Vamos nós a sorrir Ficar de bem no fim Para quê? Maltratarmos o amor O amor não se maltrata, não Para quê? Se esta gente o que quer É ver nossa separação Brigo eu, você briga também Por coisas tão banais E o amor em momentos assim Morre um pouquinho mais E ao morrer Então é que se vê Que quem morreu Fui eu e foi você Pois sem amor Estamos sós Morremos nós! ",sertanejo
