lyric,genre
"  acredite, é hora de vencer essa força vem de dentro de você você pode até tocar o céu, se crer acredite, que nenhum de nós já nasceu com jeito pra super-herói nossos sonhos a gente é quem constrói é vencendo os limites, escalando as fortalezas conquistando o impossível pela fé campeão, vencedor, deus dá asas, faz teu voo campeão, vencedor essa fé que te faz imbatível, te mostra o teu valor acredite, que nenhum de nós já nasceu com jeito pra super-herói nossos sonhos a gente é quem constrói é vencendo os limites, escalando as fortalezas conquistando o impossível pela fé tantos recordes você pode quebrar as barreiras você pode ultrapassar, e vencer! ",gospel
"  dime donde ha quedado todo lo que nos juramos dime donde has dejado el amor que te he entregado dime como has olvidado los momentos que pasamos dime como hiciste tu para no extranar mis labios porque yo no he podido conseguir ni un minuto donde no estes tu pasando por mi mente dime  tu como debo olvidar para ya nosentir el dolor que me mata lentamente siempre nos amamos igual, pero tu me pudiste olvidar y yo sigo queriendote fuertemente ",bossa_nova
"  ela tem um jeitinho como ninguém que ninguém tem a gaúcha tem a fibra a mineira o encanto tem a baiana quando vibra tem tudo isso e o céu também a capixaba bonita é de dar água na boca e a linda pernambucana ai, meu deus, que coisa louca! a mulher amazonense quando é boa é demais mas a bela cearense não fica nada para trás a paulista tem a ""erva"" além das graças que tem a nordestina conserva toda a vida e o querer-bem a mulher carioca o que é que ela tem? ela tem tanta coisa que nem sabe que tem ela tem o bem que tem tem o bem que tem o bem tem o bem que ela tem que ninguém tem, que tem ela tem um pouquinho que ninguém tem ela faz um carinho como ninguém ela tem um passinho que vai e que vem ela tem um jeitinho de nhem-nhem-nhem a carioca tem um jeitinho de nhem-nhem-nhem tem um jeitinho de nhem-nhem-nhem tem um carinho também a carioca faz um passinho de nhem-nhem-nhem ",bossa_nova
"  um homem, um tanque, uma cama esta era a cena que acontecia todo dia em betesda um dia, muda a cena, pois um personagem nazareno apareceu agora era um homem, um tanque, uma cama, e o filho de deus que lhe pergunta: psiu, queres ficar são? então, o homem falou: eu? meu problema é o tanque, a minha vez passou era um homem, numa cama, culpando o tanque mas assim, disse o senhor o paralítico! levanta-te, esquece o tanque e nunca mais você volta pra cá mas a cama tu terás que carregar que é pra não esquecer do teu passado nem também quem te curou há momentos que jesus nos faz levar a cama que é pra não esquecer do nosso passado nem de onde ele nos tirou o homem estava em jerusalém, já não dependia de ninguém mas a ordem foi levar a cama, então ele levou ouça a voz de deus que hoje te diz, jamais esqueça a sua raiz pois através dela será glorificado o nome do senhor e se acontecer de deus te usar, para ganhar vidas onde você passar e ao estender a tua mão, desça curas e milagres e uma chuva de unção não vá esquecer de onde você surgiu, eras um homem no tanque mas ele te viu, ele curou você, mandou caminhar deixasse o tanque, mas a cama é pra carregar pra não esquecer quem te curou, pra não esquecer quem a mão te estendeu dê glória a ele, exalte a ele pois através da cama, verás à glória de deus você pode cantar, mas a glória é de deus você pode pregar, mas a glória é de deus você pode crescer, mas a glória é de deus você pode ficar rico, mas a glória é de deus você pode cantar, mas a glória é de deus você pode pregar, mas a glória é de deus dê glória a ele, exalte a ele pois através da cama, verás à glória de deus e se acontecer de deus te usar, para ganhar vidas onde você passar e ao estender a tua mão, desça curas, milagres e uma chuva de unção não vá esquecer de onde você surgiu eras um homem no tanque mas ele te viu, ele curou você mandou caminhar, cê tá todo bonitinho mas a cama é pra carregar pra não esquecer quem te curou, pra não esquecer quem a mão te estendeu dê glória a ele, exalte a ele pois através da cama, verás a glória de deus ",gospel
  putaria do carai as novinha tá demais no baile funk elas faz ela leva nas altura vai sentando com a bunda com a bunda ela cai ela tomou balinha junto com tequila e agora ela dança e não quer parar mais senta na pica louca de balinha se envolve nesse clima senta na pica louca de balinha se envolve nesse clima depois que o grave solta a putaria você junto com as amiga senta na pica louca de balinha se envolve nesse clima senta na pica louca de balinha se envolve nesse clima depois que o grave solta a putaria você junto com as amiga ,funk
"  comento com as amigas que o dj é bom demais comento com as amigas o maneirinho é bom demais é bom demais, é é bom demais chefe é chefe né pai chefe é chefe né pai depois que pega uma vez ah novinha pede mais chefe é chefe né pai chefe é chefe né pai depois que pega uma vez ah novinha pede mais ela grita ai (ui) ela grita (ui ui) ai chefe é chefe chefe é chefe né pai depois que pega uma vez ah novinha pede mais chefe é chefe né pai chefe é chefe né pai depois que pega uma vez ah novinha pede mais comento com as amigas que o dj é bom demais comento com as amigas o maneirinho éh bom demais éh bom demais, éh éh bom demais chefe é chefe né pai chefe é chefe né pai depois que pega uma vez ah novinha pede mais chefe é chefe né pai chefe é chefe né pai depois que pega uma vez ah novinha pede mais ela grita ai (ui) ela grita (ui ui) ai chefe é chefe chefe é chefe né pai depois que pega uma vez ah novinha pede mais chefe é chefe né pai chefe é chefe né pai depois que pega uma vez as novinha pede mais ",funk
"  mulher, você tem uma missão você é especial não existe outra igual a você mulher, deus te deu um coração quebrantado, adorador cheio de amor não diga que você não tem valor deus não errou quando ele te criou ah, eu tenho uma missão disso eu não abro mão ser uma mulher vitoriosa ah, eu tenho uma missão disso eu não abro mão ser uma mulher vitoriosa oh medo, onde está tua vitória? eu sou vitoriosa sobre o medo vitoriosa sobre o medo oh culpa, onde está tua vitória? eu sou vitoriosa sobre a culpa vitoriosa sobre a culpa doença, onde está tua vitória? eu sou vitoriosa sobre a dor vitoriosa sobre a dor oh morte, onde tua vitória? tragada foi a morte na vitória do senhor ",gospel
"  é delano, tá ligado é delano, tá ligado é delano, tá ligado essa vai para todas novinhas essa é especialmente pra todas mulheres vem no pique se envolve na dança quero ver todas elas no remexe mexe mais uma pra todas novinhas mais uma pra todas mulheres vem no pique se envolve na dança quero ver todas elas no remexe mexe mexe remexe remexe mexe é embaixo, ela sobe é em cima, ela desce mexe remexe na batida ela sobe, ela desce então mexe, remexe na batida ela sobe, ela desce vai sensualiza com a cinturinha que maravilha tô jogando pra baixo e pra cima ",funk
"  às vezes acho que devia te dizer mais vezes que te amo e que te quero mais que qualquer coisa por essa noite vem morar aqui, aqui tem gente que chega e muda os planos da gente e que faz a nossa vida caminhar pra frente agora sim eu sei pra onde ir dessa vida nada se leva e no fundo todo mundo espera um amor que venha pra somar, pra completar o nosso santo bateu o amor da sua vida sou eu tudo que é meu hoje é seu e o fim nem precisa rimar o nosso santo bateu o amor da sua vida sou eu tudo que é meu hoje é seu e o fim nem precisa rimar e dessa vida nada se leva e no fundo todo mundo espera um amor que venha pra somar, pra completar o nosso santo bateu o amor da sua vida sou eu tudo que é meu hoje é seu e o fim nem precisa rimar o nosso santo bateu, bateu o amor da sua vida sou eu, sou eu tudo que é meu hoje é seu e o fim nem precisa rimar ",sertanejo
"  pai, estou aqui, olha para mim desesperado por mais de ti a tua presença é o meu sustento a tua palavra, meu alimento preciso ouvir a tua voz dizendo assim vem filho amado vem em meus braços descansar e bem seguro te conduzirei ao meu altar ali falarei contigo com meu amor te envolverei quero olhar em teus olhos tuas feridas sararei vem filho amado vem como estás pai, meu pai meu papai, abba pai ",gospel
